open;high;low
8.600000381;8.736000061;8.463999748
8.706000328;9.06000042;8.694000244
9.149999619;9.237999916;8.934000015
9.102000237;9.25;8.887999535
9.180000305;9.590000153;9.149999619
9.654000282;10.07499981;9.619999886
9.779999733;9.82199955;9.079999924
9.328000069;9.42800045;9.133999825
9.020000458;9.026000023;8.581999779
8.5;8.937999725;8.399999619
8.586000443;8.760000229;8.418000221
8.539999962;8.680000305;8.32199955
8.409999847;8.487999916;8.145999908
8.175999641;8.251999855;8.010000229
8.25;8.416000366;8.229999542
8.244000435;8.251999855;8.053999901
8.220000267;8.38599968;8.11400032
8.270000458;8.359999657;7.868000031
7.84800005;8.039999962;7.722000122
8.100000381;8.121999741;7.731999874
7.769999981;7.914000034;7.642000198
7.843999863;7.920000076;7.647999763
7.828000069;8.008000374;7.71600008
7.955999851;8.109999657;7.926000118
8.029999733;8.043999672;7.78000021
8;8.13599968;7.923999786
7.940000057;7.972000122;7.829999924
7.800000191;7.852000237;7.710000038
7.788000107;7.840000153;7.510000229
7.5;7.697999954;7.455999851
7.763999939;7.854000092;7.673999786
7.699999809;7.986000061;7.684000015
8;8.07199955;7.872000217
7.981999874;8.076000214;7.909999847
7.987999916;8.012000084;7.835999966
7.828000069;7.828000069;7.68200016
7.857999802;7.927999973;7.702000141
7.849999905;7.923999786;7.638000011
7.869999886;7.869999886;7.53399992
7.5;7.544000149;7.389999866
7.360000134;7.360000134;7.119999886
7.196000099;7.274000168;7.061999798
7.099999905;7.122000217;6.955999851
7;7.03000021;6.722000122
6.840000153;6.869999886;6.56799984
6.579999924;6.71600008;6.461999893
6.762000084;6.964000225;6.75
7;7.107999802;6.953999996
7;7.019999981;6.782000065
6.791999817;6.829999924;6.664000034
6.751999855;6.900000095;6.71600008
6.874000072;7.294000149;6.872000217
7.070000172;7.236000061;7.021999836
7.179999828;7.230000019;7.053999901
7.039999962;7.041999817;6.866000175
6.96600008;7.035999775;6.826000214
6.820000172;6.923999786;6.722000122
6.734000206;6.820000172;6.68599987
6.703999996;6.78399992;6.670000076
6.699999809;6.730000019;6.558000088
6.68599987;6.949999809;6.642000198
6.949999809;7.058000088;6.776000023
6.769999981;6.941999912;6.728000164
6.84800005;6.96600008;6.78000021
6.958000183;6.986000061;6.880000114
6.980000019;7.047999859;6.622000217
6.728000164;6.756000042;6.510000229
6.645999908;6.699999809;6.40199995
6.453999996;6.579999924;6.40199995
6.43200016;6.645999908;6.43200016
6.521999836;6.688000202;6.475999832
6.690000057;6.690000057;6.282000065
6.329999924;6.480000019;6.302000046
6.412000179;6.546000004;6.340000153
6.440000057;6.447999954;6.300000191
6.443999767;6.489999771;6.25
6.251999855;6.480000019;6.223999977
6.440000057;6.584000111;6.363999844
6.5;6.622000217;6.452000141
6.552000046;6.552000046;6.31400013
6.282000065;6.282000065;6.041999817
6.15199995;6.366000175;6.081999779
6.234000206;6.300000191;6.039999962
6;6.084000111;5.889999866
5.964000225;5.987999916;5.723999977
5.842000008;5.929999828;5.794000149
5.886000156;5.889999866;5.670000076
5.662000179;5.822000027;5.616000175
5.768000126;5.800000191;5.507999897
5.5;5.521999836;5.372000217
5.593999863;5.789999962;5.550000191
5.769999981;6.052000046;5.742000103
5.989999771;6.061999798;5.920000076
6.099999905;6.297999859;5.993999958
6.300000191;6.423999786;6.245999813
6.297999859;6.300000191;6.202000141
6.222000122;6.320000172;6.127999783
6.081999779;6.179999828;5.949999809
6.038000107;6.056000233;5.888000011
5.986000061;6.001999855;5.806000233
