date;temp
01/01/2021;27.11
02/01/2021;26.8
03/01/2021;27.03
04/01/2021;26.56
05/01/2021;26.99
06/01/2021;26.84
07/01/2021;26.71
08/01/2021;27.05
09/01/2021;27.04
10/01/2021;26.63
11/01/2021;26.56
12/01/2021;26.68
13/01/2021;26.23
14/01/2021;26.18
15/01/2021;26.42
16/01/2021;26.57
17/01/2021;26.55
18/01/2021;26.31
19/01/2021;26.17
20/01/2021;26.24
21/01/2021;26.41
22/01/2021;25.9
23/01/2021;25.89
24/01/2021;26.46
25/01/2021;26.3
26/01/2021;26.18
27/01/2021;25.9
28/01/2021;26.3
29/01/2021;26.34
30/01/2021;26.19
31/01/2021;26.42
01/02/2021;26.37
02/02/2021;26.24
03/02/2021;26.02
04/02/2021;26.04
05/02/2021;26.12
06/02/2021;26.09
07/02/2021;26.28
08/02/2021;26.3
09/02/2021;25.97
10/02/2021;26.4
11/02/2021;26.44
12/02/2021;26.33
13/02/2021;26.15
14/02/2021;25.82
15/02/2021;25.48
16/02/2021;25.22
17/02/2021;25.54
18/02/2021;26.19
19/02/2021;26.26
20/02/2021;26.16
21/02/2021;26.12
22/02/2021;25.71
23/02/2021;25.41
24/02/2021;25.24
25/02/2021;25.82
26/02/2021;26.15
27/02/2021;26.21
28/02/2021;26.4
01/03/2021;26.49
02/03/2021;26.37
03/03/2021;26.84
04/03/2021;26.84
05/03/2021;27.26
06/03/2021;26.89
07/03/2021;26.73
08/03/2021;26.83
09/03/2021;26.53
10/03/2021;26.98
11/03/2021;26.65
12/03/2021;26.78
13/03/2021;26.41
14/03/2021;26.43
15/03/2021;26.33
16/03/2021;26.78
17/03/2021;27.17
18/03/2021;27.38
19/03/2021;27.51
20/03/2021;27.59
21/03/2021;27.43
22/03/2021;27.86
23/03/2021;27.48
24/03/2021;27.41
25/03/2021;27.05
26/03/2021;27.09
27/03/2021;26.88
28/03/2021;27.12
29/03/2021;27.43
30/03/2021;27.62
31/03/2021;27.8
01/04/2021;28.49
02/04/2021;28.47
03/04/2021;27.78
04/04/2021;28.23
05/04/2021;28.3
06/04/2021;28.31
07/04/2021;27.79
08/04/2021;27.96
09/04/2021;28.37
10/04/2021;28.07
11/04/2021;28.2
12/04/2021;28.16
13/04/2021;28.38
14/04/2021;28.33
15/04/2021;28.08
16/04/2021;28.13
17/04/2021;27.79
18/04/2021;28.2
19/04/2021;28.6
20/04/2021;28.59
21/04/2021;28.8
22/04/2021;28.74
23/04/2021;29.23
24/04/2021;29.08
25/04/2021;28.8
26/04/2021;28.81
27/04/2021;28.59
28/04/2021;28.87
29/04/2021;28.86
30/04/2021;28.98
01/05/2021;29.05
02/05/2021;29.32
03/05/2021;29.04
04/05/2021;28.9
05/05/2021;28.3
06/05/2021;28.21
07/05/2021;28.76
08/05/2021;28.84
09/05/2021;28.9
10/05/2021;29.15
11/05/2021;29.43
12/05/2021;29.19
13/05/2021;28.98
14/05/2021;29.02
15/05/2021;28.84
16/05/2021;29.07
17/05/2021;28.98
18/05/2021;28.54
19/05/2021;28
20/05/2021;28.48
21/05/2021;28.91
22/05/2021;28.83
23/05/2021;29.02
24/05/2021;29.38
25/05/2021;29.37
26/05/2021;29.64
27/05/2021;29.47
28/05/2021;29.37
29/05/2021;29.12
30/05/2021;29.28
31/05/2021;29.29
01/06/2021;29.26
02/06/2021;29.24
03/06/2021;29.6
04/06/2021;29.54
05/06/2021;29.44
06/06/2021;29.7
07/06/2021;29.62
08/06/2021;28.97
09/06/2021;28.95
10/06/2021;28.37
11/06/2021;28.23
12/06/2021;28.83
13/06/2021;28.15
14/06/2021;28.12
15/06/2021;28.37
16/06/2021;28.31
17/06/2021;28.65
18/06/2021;28.15
19/06/2021;28.79
20/06/2021;28.55
21/06/2021;28.74
22/06/2021;28.77
23/06/2021;29.08
24/06/2021;28.88
25/06/2021;28.67
26/06/2021;28.43
27/06/2021;28.58
28/06/2021;28.51
29/06/2021;28.25
30/06/2021;28.58
01/07/2021;28.66
02/07/2021;28.4
03/07/2021;28.28
04/07/2021;28.51
05/07/2021;28.52
06/07/2021;28.54
07/07/2021;28.3
08/07/2021;28.8
09/07/2021;28.76
10/07/2021;28.11
11/07/2021;27.69
12/07/2021;27.71
13/07/2021;27.77
14/07/2021;28.65
15/07/2021;28.94
16/07/2021;29.01
17/07/2021;28.62
18/07/2021;28.7
19/07/2021;28.95
20/07/2021;28.83
21/07/2021;29.28
22/07/2021;29.14
23/07/2021;29.16
24/07/2021;28.98
25/07/2021;29.08
26/07/2021;28.88
27/07/2021;28.83
28/07/2021;29.05
29/07/2021;28.99
30/07/2021;28.94
31/07/2021;28.78
01/08/2021;28.69
02/08/2021;28.5
03/08/2021;28.58
04/08/2021;28.59
05/08/2021;28.83
06/08/2021;28.95
07/08/2021;28.67
08/08/2021;28.2
09/08/2021;28.29
10/08/2021;28.93
11/08/2021;28.75
12/08/2021;28.65
13/08/2021;28.23
14/08/2021;27.99
15/08/2021;27.96
16/08/2021;28.08
17/08/2021;27.64
18/08/2021;27.4
19/08/2021;27.51
20/08/2021;27.18
21/08/2021;27.87
22/08/2021;27.69
23/08/2021;27.67
24/08/2021;27.52
25/08/2021;27.66
26/08/2021;28.1
27/08/2021;27.51
28/08/2021;27.64
29/08/2021;27.74
30/08/2021;27.91
31/08/2021;27.42
01/09/2021;28.32
02/09/2021;27.66
03/09/2021;27.84
04/09/2021;27.85
05/09/2021;27.88
06/09/2021;27.99
07/09/2021;28.24
08/09/2021;28.86
09/09/2021;28.66
10/09/2021;28.09
11/09/2021;28.64
12/09/2021;28.12
13/09/2021;27.9
14/09/2021;27.37
15/09/2021;28.02
16/09/2021;28.36
17/09/2021;28.59
18/09/2021;28.48
19/09/2021;28.4
20/09/2021;28.7
21/09/2021;28.97
22/09/2021;28.9
23/09/2021;28.15
24/09/2021;28.46
25/09/2021;28.53
26/09/2021;28.8
27/09/2021;28.05
28/09/2021;28.21
29/09/2021;28.38
30/09/2021;28.39
01/10/2021;28.46
02/10/2021;28.2
03/10/2021;28.47
04/10/2021;28.94
05/10/2021;28.15
06/10/2021;29.36
07/10/2021;29.4
08/10/2021;29.16
09/10/2021;28.75
10/10/2021;28.95
11/10/2021;29.4
12/10/2021;29.48
13/10/2021;29.23
14/10/2021;29.24
15/10/2021;29.29
16/10/2021;29.23
17/10/2021;28.56
18/10/2021;28.21
19/10/2021;27.73
20/10/2021;27.12
21/10/2021;27.97
22/10/2021;27.65
23/10/2021;27.76
24/10/2021;28.26
25/10/2021;28.5
26/10/2021;28.67
27/10/2021;28.62
